Course Name,University / Industry Partner Name,Type of Content,Difficulty Level,Avg Total Learning Hours,Learning Hours-by instructor,Course Rating,Course URL,Course Description,Skills Learned,Scorable Skills,Specialization,Specialization URL,Subtitle Language,Course Language,ML Translation,Domain,Sub-Domain,Course ID,Specialization Ids,New Course,instructor,enrollment_count,Language_Flag
Introduction to Vertex AI Embeddings: Text and Multimodal,Google Cloud,Project,BEGINNER,,1,5,https://www.coursera.org/learn/googlecloud-introduction-to-vertex-ai-embeddings-text-and-multimodal-vnl4j,"This is a self-paced lab that takes place in the Google Cloud console. In this lab, you will explore the Vertex AI Embeddings API for both Text and Multimodal (Images and Video) use cases.","Vector Databases, Embeddings, Image Analysis, Google Cloud Platform, Artificial Intelligence","Vector Databases, Embeddings, Image Analysis, Google Cloud Platform, Artificial Intelligence",,,,English,Spanish,Information Technology,Cloud Computing,zxmcHYSKEe-uIwr_5K4XQQ,,FALSE,Google Cloud Training,70,English
Setting a Generative AI Strategy,Coursera,Course,BEGINNER,2.426273442,6,4.7,https://www.coursera.org/learn/setting-a-generative-ai-strategy,"In this course, we delve into the potential impact of GenAI on various facets of business with a particular focus on customer value creation and productivity. We’ll review research from leaders in academia and industry to understand emerging thinking on GenAI’s business impact. Imagine a future where GenAI not only drives business growth but also reshapes the very fabric of industry operations. That's the transformative power of GenAI. Guest expert Robert Brenner (University of Illinois) will share his thoughts on what’s coming next and the implications this might have for businesses.

We’ll build on this foundation to provide a framework for developing your generative AI strategy. 
You will go hands-on to put the “Business Model Canvas” into action via the Coursera Playground, a private environment where you can leverage powerful large language models as a strategic thought partner. The provided prompts will guide you through the development of your GenAI strategy. This learn-by-doing approach will leave you with an actionable generative AI strategy and a deep appreciation of the power of generative AI as a thought partner.

Finally, the course will provide you with case studies on how Coursera has leveraged genAI to deliver customer value and productivity. You’ll hear about the teams we tapped to react with agility and the research we reviewed to guide our efforts. These case studies provide a blueprint for follow up work to turn your new strategy into reality.","Business Strategy, AI Product Strategy, Case Studies, Productivity Software, Customer experience strategy (CX), Strategic Planning, Value Propositions, Business Planning, Generative AI, Strategic Thinking, Customer Insights","Business Strategy, AI Product Strategy, Case Studies, Productivity Software, Strategic Planning, Value Propositions, Business Planning, Generative AI, Strategic Thinking, Customer Insights",Navigating Generative AI for Leaders,https://www.coursera.org/specializations/navigating-generative-ai-for-leaders,"Italian, Turkish, Dutch, Arabic, French, Korean, Chinese (China), Hungarian, Greek, Kazakh, Portuguese (Brazil), Hindi, Uzbek, Indonesian, English, Spanish, Swedish, Thai, German, Polish, Japanese, Ukrainian, Russian",English,"Italian, Turkish, Dutch, Arabic, French, Korean, Chinese (China), Hungarian, Greek, Kazakh, Portuguese (Brazil), Hindi, Uzbek, Indonesian, Spanish, Swedish, Thai, German, Polish, Japanese, Ukrainian, Russian",Data Science,Machine Learning,zxcxGbcPEe6jXQ7DOFLcow,j1hDjQPHSIWfUrhVjCHZzw,FALSE,"Jeff Maggioncalda, Coursera CEO",5543,English
Machine Learning – Modern Computer Vision & Generative AI,Packt,Course,INTERMEDIATE,3.954409935,10,4.5,https://www.coursera.org/learn/packt-machine-learning-modern-computer-vision-generative-ai-28c6a,"Updated in May 2025.

This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

Embark on a transformative journey through modern machine learning, computer vision, and generative AI with this comprehensive course. Explore industry-leading techniques like image classification, object detection, and cutting-edge generative models powered by KerasCV and Stable Diffusion. Gain hands-on experience with tools and frameworks that make these advanced topics approachable and actionable.

The course begins with the fundamentals of pre-trained models and transfer learning, empowering you to implement and fine-tune image classifiers in Python. From there, dive into object detection, mastering dataset formats, augmentation techniques, and loss functions while leveraging KerasCV for efficient fine-tuning.

Next, delve into generative AI with Stable Diffusion, uncovering its architecture, mechanics, and codebase. Learn to create stunning visuals and understand how these models condition on prompts, offering insights into the frontier of AI-driven creativity. Additional modules provide guidance on Python coding, environment setup, and learning strategies, ensuring that learners of all levels can succeed.

This course is designed for learners interested in deep learning, computer vision, and AI creativity. A basic understanding of Python and machine learning is recommended. Whether you're a developer, researcher, or enthusiast, this intermediate-level course will elevate your skills and open new horizons in AI innovation.","Python Programming, Computer Vision, Development Environment, Jupyter, Test Driven Development (TDD), Data Preprocessing, NumPy, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning Methods, Convolutional Neural Networks, Image Analysis, Keras (Neural Network Library), Tensorflow, Deep Learning","Python Programming, Computer Vision, Development Environment, Jupyter, Test Driven Development (TDD), Data Preprocessing, NumPy, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning Methods, Convolutional Neural Networks, Image Analysis, Keras (Neural Network Library), Tensorflow, Deep Learning",,,English,English,"Spanish, Hungarian, Kazakh",Computer Science,Software Development,zwxzwLaFEe-sywr_75D7Fw,,FALSE,Packt - Course Instructors,224,English
AI Agents for Cybersecurity,Starweaver,Course,INTERMEDIATE,5.369477613,8,,https://www.coursera.org/learn/ai-agents-for-cybersecurity,"The cybersecurity field is rapidly evolving, with AI agents emerging as a critical force in defending against advanced cyber threats. This course explores the shift from manual security methods to intelligent automation, highlighting how AI agent, powered by Large Language Models, can reason, act autonomously, and integrate deeply within Security Operations Canters (SOCs).

You’ll begin with foundational concepts in AI agent design and progress toward real-world applications, including threat detection, vulnerability analysis, incident response, and proactive threat hunting. Alongside technical implementation, the course addresses essential topics in security governance, operational risk, and the ethical deployment of autonomous systems.

Designed for SOC analysts, managers, and cybersecurity professionals, this course offers actionable insights into deploying AI agents to improve speed, precision, and scalability in cyber defence. Whether you're enhancing current operations or preparing for the AI-driven future of cybersecurity, you'll gain the knowledge to use these systems responsibly and effectively.","AI Security, Threat Detection, Incident Response, Agentic systems, Responsible AI, Cyber Threat Hunting, LLM Application, Data Ethics, Risk Mitigation, Cyber Operations, Cyber Threat Intelligence, Cybersecurity, Agentic Workflows, AI Orchestration, Threat Modeling, Generative AI Agents, Cyber Security Strategy, Cyber Security Assessment, Technology Strategies, Cyber Governance","AI Security, Threat Detection, Incident Response, Agentic systems, Responsible AI, Cyber Threat Hunting, LLM Application, Data Ethics, Risk Mitigation, Cyber Operations, Cyber Threat Intelligence, Cybersecurity, Agentic Workflows, AI Orchestration, Threat Modeling, Generative AI Agents, Cyber Security Strategy, Cyber Security Assessment, Technology Strategies, Cyber Governance",,,English,English,Hungarian,Information Technology,Security,zwRYbpLLEfChbgr_wPOxpQ,,FALSE,Gleb Marchenko,523,English
IA generativa: más allá del chatbot,Google Cloud,Course,BEGINNER,1.09527718,1,4.76,https://www.coursera.org/learn/gen-ai-beyond-the-chatbot-es,"Gen AI: Beyond the Chatbot is the first course of the Gen AI Leader learning path and has no prerequisites. This course aims to move beyond the basic understanding of chatbots to explore the true potential of generative AI for your organization. You explore concepts like foundation models and prompt engineering, which are crucial for leveraging the power of gen AI. The course also guides you through important considerations you should make when developing a successful gen AI strategy for your organization.","Generative AI, Google Cloud Platform, Responsible AI, LLM Application, AI Workflows, AI Product Strategy, Prompt Engineering, AI Enablement, Artificial Intelligence","Generative AI, Google Cloud Platform, Responsible AI, LLM Application, AI Workflows, AI Product Strategy, Prompt Engineering, AI Enablement, Artificial Intelligence",Líder de IA generativa (Generative AI Leader),https://www.coursera.org/specializations/genaileader-es,Spanish,Spanish,,Computer Science,Software Development,zwNR8lZ8EfCt0wr_8L_7mQ,nlcnJba9SeiZMH6UZVczTA,FALSE,Google Cloud Training,2113,Others
Copilot for Beginners: Create a Sales Pitch Presentation,Coursera,Guided Project,BEGINNER,0.554769204,2,4.75,https://www.coursera.org/learn/copilot-for-beginners-create-a-sales-pitch-presentation,"In this 2-hour project-based course, you will learn the basics of building persuasive sales presentations using PowerPoint and Copilot AI. We will do this by creating a methodology-based sales pitch presentation for a fictional project management software company. You'll learn how to leverage Copilot to quickly craft a compelling narrative, import product and prospect information, match product features to client needs, and even model pricing scenarios formulating an economic offer. This project is particularly beneficial for business developers and sales representatives, allowing to create sales pitch presentations better and faster. The only required prerequisites are a valid Copilot and Microsoft 365 license, and a fundamental knowledge of Powerpoint (create and edit slides).","Microsoft Copilot, Presentations, Sales Presentations, Storytelling, Solution Selling, Sales, Generative AI, Prompt Engineering, Product Knowledge, Value Propositions, Selling Techniques, Microsoft PowerPoint, Business Modeling, Price Negotiation","Microsoft Copilot, Presentations, Sales Presentations, Storytelling, Sales, Generative AI, Prompt Engineering, Product Knowledge, Value Propositions, Selling Techniques, Microsoft PowerPoint, Business Modeling, Price Negotiation",Sales Excellence,https://www.coursera.org/specializations/sales-excellence,"Spanish, Arabic, French, German, Chinese (China), Portuguese (Brazil), Russian, English, Indonesian",English,"Spanish, Arabic, French, German, Chinese (China), Portuguese (Brazil), Russian, Indonesian",Business,Business Essentials,ztR5vBwFEe-Ojg4Sufxjbw,3J9ykFsRQkycSx-QDeT2KA,FALSE,Angelo Paolillo,2447,English
Data Visualization with OpenAI API: Generate code with GenAI,Coursera,Guided Project,INTERMEDIATE,0.525184545,1,4.44,https://www.coursera.org/learn/data-visualization-with-openai-api-generate-code-with-genai,"In this 2-hour long project-based course, you will learn the basics of communicating with the OpenAI API through prompts specifically designed for Python code generation aimed at data visualization and analysis. This course is tailored to address a unique real-world scenario where you have been hired by an online toy store company called Toy Trendz to help them analyze their product sales data. They have provided you with a sales dataset related to the year 2018 and have presented analytical questions that require effective visualizations.

The challenge in this project lies in Toy Trendz's desire for a system that can convert human language into visualizations based on the data. You will start by learning how to effectively prompt GPT-4 to generate Python code, unlocking the power of natural language understanding to create customized data visualizations.

To get the most out of this course, you'll need access to the OpenAI API and a basic understanding of data analysis concepts, including data types, data manipulation, along with some familiarity with Python. 

This course is for those who are experienced data analysis with at least a basic knowledge in Python and want to explore the exciting applications of generative AI in data visualization and analysis.","Prompt Engineering, OpenAI API, Data Manipulation, ChatGPT, Pandas (Python Package), Seaborn, Matplotlib, Data Visualization, Python Programming, Generative AI, Natural Language Processing, Data Analysis, Data Visualization Software","Prompt Engineering, OpenAI API, Data Manipulation, ChatGPT, Pandas (Python Package), Seaborn, Matplotlib, Data Visualization, Python Programming, Generative AI, Natural Language Processing, Data Analysis, Data Visualization Software",,,"Italian, Turkish, Dutch, Korean, French, Arabic, Chinese (China), Hungarian, Greek, Portuguese (Brazil), Hindi, English, Indonesian, Spanish, Swedish, Thai, German, Polish, Japanese, Ukrainian, Russian",English,"Italian, Turkish, Dutch, Korean, French, Arabic, Chinese (China), Hungarian, Greek, Portuguese (Brazil), Hindi, Indonesian, Spanish, Swedish, Thai, German, Polish, Japanese, Ukrainian, Russian",Data Science,Data Analysis,zt1DHnr0Ee6NOgp3b3opmQ,,FALSE,Ahmad Varasteh,1328,English
Building a ChatGPT AI with JavaScript - A Code-Along Guide,Packt,Course,BEGINNER,2.621672914,4,5,https://www.coursera.org/learn/packt-building-a-chatgpt-ai-with-javascript-an-code-along-guide-sz6bi,"Updated in May 2025.
 
This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

ChatGPT enhances programming and code analysis, offering significant early advantages. This course teaches you to create an AI-powered pet name generator. Starting with ChatGPT and the latest web development tools, you’ll install the necessary tools and gain hands-on experience with web technologies. You will:

- Learn to implement machine learning in a real-world project
- Use React Hooks for interactive interfaces, and make API calls to OpenAI using Fetch and NPX. 
- Build an AI application, understand machine learning, 
- Create React Hook-based interfaces, adding a pet name generator to your portfolio. 
- Learn to build an AI app with OpenAI API, 
- Install tools and dependencies, and get hands-on with React, Next.js, JavaScript, Node, and CSS. 

Ideal for those interested in web development and ChatGPT jobs, this course suits beginners and those with basic JavaScript knowledge. No programming experience is needed, but basic JavaScript and web development knowledge is a plus.","ChatGPT, Javascript, Node.JS, Cascading Style Sheets (CSS), Prompt Engineering, Web Design and Development, Microsoft Visual Studio, React.js, Debugging, Secure Coding, Development Environment, API Design, Generative AI","ChatGPT, Javascript, Node.JS, Cascading Style Sheets (CSS), Prompt Engineering, Web Design and Development, Microsoft Visual Studio, React.js, Debugging, Secure Coding, Development Environment, Generative AI",,,"Spanish, German, French, Arabic, Hungarian, Kazakh, English",English,"Spanish, German, French, Arabic, Hungarian, Kazakh",Computer Science,Software Development,zsmzkjfdEe-9Ig7qA4dB5w,,FALSE,Packt - Course Instructors,295,English
AWS Generative AI Essentials,Amazon Web Services,Course,BEGINNER,,16,5,https://www.coursera.org/learn/aws-generative-ai-essentials,"This course introduces developers to Generative AI with AWS from Amazon Q Developer that integrates directly into your development environment to Amazon Bedrock with its foundation models and customization features. You'll learn implementation strategies for integrating these AWS AI services into your development workflow, including working with prompts, setting up guardrails, and implementing best practices for building AI applications. You'll learn about how AWS has transformed the world of sports analytics, marketing platforms, and travel services. Get started and you'll discover how organizations are using AWS' AI services to uplevel their development processes.","AI Security, Prompt Engineering, AI Orchestration, Amazon Bedrock, Model Context Protocol, AI Workflows, Vibe coding, Integrated Development Environments, LLM Application, Amazon Web Services, Generative AI, Secure Coding, Responsible AI","AI Security, Prompt Engineering, AI Orchestration, Amazon Bedrock, Model Context Protocol, AI Workflows, Vibe coding, Integrated Development Environments, LLM Application, Amazon Web Services, Generative AI, Secure Coding, Responsible AI",,,English,English,,Information Technology,Cloud Computing,zsZmz9t5EfCd-xKyx35L5Q,,TRUE,Rafael Lopes,474,English
Responsible AI: Privacy & Safety - Português,Google Cloud,Course,INTERMEDIATE,,5,,https://www.coursera.org/learn/responsible-ai-for-developers-privacy-and-safety-ptbr,Este curso apresenta tópicos importantes sobre privacidade e segurança da IA. Ele também aborda recursos e métodos úteis para implementar práticas recomendadas de privacidade e segurança da IA com o uso de produtos do Google Cloud e ferramentas de código aberto.,"Responsible AI, Information Privacy, AI Security, Personally Identifiable Information, Generative AI, Google Cloud Platform, Encryption, Security Controls, Cloud Security, Data Ethics, Safety and Security, Identity and Access Management, Data Security","Responsible AI, Information Privacy, AI Security, Personally Identifiable Information, Generative AI, Google Cloud Platform, Encryption, Security Controls, Cloud Security, Data Ethics, Safety and Security, Identity and Access Management, Data Security",,,"Portuguese (Brazil), English",Portuguese (Brazil),,Information Technology,Cloud Computing,zojOjVPbEe-SdxJ_Axw1wQ,,FALSE,Google Cloud Training,23,Others
