message_id,session_id,timestamp,role,step,message_text
msg_ff4f678b3292,session_553142052702,2026-04-14T16:52:35,user,,Hi I am Utkarsh
msg_d4c9f5c27dce,session_553142052702,2026-04-14T16:52:35,assistant,,"Hi Utkarsh! I’m your AI Course Recommendation Assistant.

I’ll ask you a few quick questions and then recommend courses that fit your goals.

What is your major or background?
Type your answer.
[[STATE:background=]]
[[STATE:topic=]]
[[STATE:subskill=]]
[[STATE:time=]]
[[STATE:provider=]]
[[STATE:level=]]
[[STATE:awaiting_custom_skill=false]]
[[STATE:step=background]]"
msg_0ccc08f0a699,session_553142052702,2026-04-14T16:52:40,user,,Finance
msg_876b2950f2b9,session_553142052702,2026-04-14T16:52:40,assistant,,"Thanks — that gives me a good starting point.

Which area are you most interested in right now?
[[OPTIONS:AI / Machine Learning||Data Analysis / Visualization||Cloud / Deployment||Business / Analytics]]
[[STATE:background=Finance]]
[[STATE:topic=]]
[[STATE:subskill=]]
[[STATE:time=]]
[[STATE:provider=]]
[[STATE:level=]]
[[STATE:awaiting_custom_skill=false]]
[[STATE:step=topic]]"
msg_47344922b2b9,session_553142052702,2026-04-14T16:52:44,user,,Data Analysis / Visualization
msg_d826959d1aec,session_553142052702,2026-04-14T16:52:44,assistant,,"Great choice — Data Analysis / Visualization can branch into a few useful directions.

I’ve narrowed this into a curated set of focus areas for you. Pick one from the dropdown below, or choose Type your own if you want something more specific.
[[SKILL_DROPDOWN:Data Analysis||Data Visualization||SQL||Dashboard||Microsoft Excel||Data Storytelling||Exploratory Data Analysis||Predictive Analytics||Type your own]]
[[STATE:background=Finance]]
[[STATE:topic=Data Analysis / Visualization]]
[[STATE:subskill=]]
[[STATE:time=]]
[[STATE:provider=]]
[[STATE:level=]]
[[STATE:awaiting_custom_skill=false]]
[[STATE:step=subskill_select]]"
msg_8e5bac7c9d17,session_553142052702,2026-04-14T16:52:48,user,,Microsoft Excel
msg_ed59fa3176c7,session_553142052702,2026-04-14T16:52:48,assistant,,"Perfect — I’ll use Microsoft Excel as your main focus within this area.

How much time can you realistically spend on this course?
[[OPTIONS:Up to 2 hours||2 to 5 hours||5 to 10 hours||10 to 20 hours||20+ hours]]
[[STATE:background=Finance]]
[[STATE:topic=Data Analysis / Visualization]]
[[STATE:subskill=Microsoft Excel]]
[[STATE:time=]]
[[STATE:provider=]]
[[STATE:level=]]
[[STATE:awaiting_custom_skill=false]]
[[STATE:step=time]]"
msg_4db0e70dc65b,session_553142052702,2026-04-14T16:52:51,user,,2 to 5 hours
msg_a7384c0f49e4,session_553142052702,2026-04-14T16:52:51,assistant,,"Got it — that helps me balance speed versus depth.

Do you have any preference for the course provider?
[[OPTIONS:Coursera||Google Cloud||IBM||Microsoft||Packt||No preference]]
[[STATE:background=Finance]]
[[STATE:topic=Data Analysis / Visualization]]
[[STATE:subskill=Microsoft Excel]]
[[STATE:time=2 to 5 hours]]
[[STATE:provider=]]
[[STATE:level=]]
[[STATE:awaiting_custom_skill=false]]
[[STATE:step=provider]]"
